,train/loss,train/loss_step,train/loss_epoch,nfe,integ_error,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/epsilon_coverage,test_sample/epsilon_precision,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions,lr-AdamW,test_sample/mmd
general__c1_std0.3_fourier16_seed42,0.9045888185501099,0.8991008996963501,0.9045888185501099,58.5,0.0,,,,,,1.9097391366958618,1.5881010293960571,0.0,1.0,1.1272300481796265,5.338266372680664,0.5621329545974731,2.1055572032928467,1.0000001111620804e-06,1.336415948571812e-06,0.35109996795654297,0.0288992989808321,0.082310751080513,0.3513333201408386,0.3240000009536743,2.705974817276001,2.6823172569274902,1.008819818496704,2.254227638244629,2.254237651824951,0.9999955296516418,1.5623133182525635,1.5454314947128296,0.215641051530838,0.14647598564624786,-0.016881823539733887,1.0303425788879395,0.0009769891621544957,0.5150889158248901,1.0,2.260671615600586,poincare,1,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.3_fourier16_seed50,0.91255784034729,0.9072378277778625,0.91255784034729,56.0,0.0,,,,,,1.9113401174545288,1.554980993270874,0.0,1.0,1.111761450767517,5.371077537536621,0.5642070770263672,2.10453200340271,1.0000001111620804e-06,1.414487428519351e-06,0.33631378412246704,0.03238154947757721,0.09628374129533768,0.35600000619888306,0.33166664838790894,2.6160285472869873,2.6730101108551025,0.9786826372146606,2.2155606746673584,2.24965763092041,0.9848434925079346,1.5389217138290405,1.5440205335617065,0.1954277902841568,0.14821623265743256,0.005098819732666016,1.0303202867507935,0.0009733977494761348,0.5137002468109131,1.0,2.2215068340301514,poincare,1,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.5_fourier16_seed34,1.2639086246490479,1.22999107837677,1.2639086246490479,62.0,0.0,1.2981473207473755,1.2981473207473755,2.4495298862457275,2.4495298862457275,2.4495298862457275,2.4308032989501953,1.3736599683761597,0.0,1.0,1.0152544975280762,5.213588714599609,0.5847774147987366,2.0227043628692627,1.0000001111620804e-06,1.8353038058194215e-06,0.36110925674438477,0.02319980598986149,0.06424594670534134,0.3675000071525574,0.34166666865348816,2.7081847190856934,2.6228268146514893,1.0325442552566528,2.2752654552459717,2.225276231765747,1.0224642753601074,1.5509827136993408,1.5355247259140015,0.1579299122095108,0.14748995006084442,-0.015457987785339355,1.0877864360809326,0.008112710900604725,0.44773828983306885,1.0,2.2633519172668457,poincare,1,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.5_fourier16_seed42,1.2689247131347656,1.2146358489990234,1.2689247131347656,65.0,0.0,1.287448763847351,1.287448763847351,2.4055674076080322,2.4055674076080322,2.4055674076080322,2.4020040035247803,1.4437733888626099,0.0,1.0,1.0420336723327637,5.490365028381348,0.5971749424934387,2.066204309463501,1.0000001111620804e-06,1.5921215208436479e-06,0.3330579102039337,0.022316215559840202,0.0670040100812912,0.36933332681655884,0.3473333418369293,2.7399535179138184,2.6823172569274902,1.0214874744415283,2.2885220050811768,2.254237651824951,1.0152088403701782,1.5607926845550537,1.5454314947128296,0.16427162289619446,0.14647598564624786,-0.015361189842224121,1.0870805978775024,0.00860671978443861,0.45835089683532715,1.0,2.278412103652954,poincare,1,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.5_fourier16_seed50,1.267297625541687,1.272664189338684,1.267297625541687,63.0,0.0,1.303696870803833,1.303696870803833,2.485463857650757,2.485463857650757,2.4854636192321777,2.5155210494995117,1.403031587600708,0.0,1.0,1.0327264070510864,5.333621025085449,0.5794642567634583,2.036435842514038,1.0000001111620804e-06,1.5534039903286612e-06,0.339864045381546,0.027058100327849388,0.07961448282003403,0.36783334612846375,0.3544999957084656,2.6888818740844727,2.6730101108551025,1.0059378147125244,2.26348614692688,2.24965763092041,1.0061469078063965,1.547647476196289,1.5440205335617065,0.15745000541210175,0.14821623265743256,-0.0036269426345825195,1.0870115756988525,0.008558373898267746,0.457008957862854,1.0,2.2474517822265625,poincare,1,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.7_fourier16_seed34,1.7172600030899048,1.839123249053955,1.7172600030899048,62.0,0.0,1.705641269683838,1.705641269683838,4.339755058288574,4.339755058288574,4.339755058288574,4.327437877655029,1.3518401384353638,0.0,1.0,1.0081285238265991,5.231330871582031,0.5783881545066833,2.0322024822235107,1.0000001111620804e-06,1.5806673445695196e-06,0.3474251627922058,0.022180069237947464,0.06384128332138062,0.37299999594688416,0.3421666622161865,2.57108211517334,2.6228268146514893,0.9802713990211487,2.212714195251465,2.225276231765747,0.9943548440933228,1.519230842590332,1.5355247259140015,0.14065569639205933,0.14748995006084442,0.016294002532958984,1.1805959939956665,0.03798956051468849,0.35492876172065735,1.0,2.2309889793395996,poincare,1,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.7_fourier16_seed42,1.7349544763565063,1.736069679260254,1.7349544763565063,68.0,0.0,1.720196008682251,1.720196008682251,4.538266181945801,4.538266181945801,4.538265705108643,4.534977912902832,1.3887141942977905,0.0,1.0,1.0190120935440063,5.851954936981201,0.590548038482666,2.0476531982421875,1.0000001111620804e-06,1.708301510916499e-06,0.3270443081855774,0.019372545182704926,0.05923523008823395,0.3700000047683716,0.34433332085609436,2.542759895324707,2.6823172569274902,0.9479713439941406,2.192913293838501,2.254237651824951,0.9727959632873535,1.515431523323059,1.5454314947128296,0.1444290429353714,0.14647598564624786,0.030000092461705208,1.1793946027755737,0.04055054858326912,0.36603689193725586,1.0,2.2301766872406006,poincare,1,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.7_fourier16_seed50,1.723281741142273,1.7190332412719727,1.723281741142273,67.5,0.0,1.7160325050354004,1.7160325050354004,4.467070579528809,4.467070579528809,4.467070579528809,4.589146137237549,1.3838180303573608,0.0,1.0,1.0294179916381836,5.495434284210205,0.5684961676597595,2.033022880554199,1.0000001111620804e-06,1.5751280670883716e-06,0.3561166226863861,0.020390091463923454,0.057256780564785004,0.3941666781902313,0.3661666810512543,2.492298126220703,2.6730101108551025,0.9323939085006714,2.1716015338897705,2.24965763092041,0.9653031229972839,1.5022319555282593,1.5440205335617065,0.13325898349285126,0.14821623265743256,0.041788578033447266,1.179231882095337,0.04017405956983566,0.36478865146636963,1.0,2.198878288269043,poincare,1,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c2_std0.3_fourier16_seed34,1.7707030773162842,1.7977629899978638,1.7707030773162842,56.0,0.0,,,,,,1.3359935283660889,2.2206766605377197,0.0,1.0,1.1710495948791504,11.005866050720215,0.918988049030304,2.8662662506103516,1.0000001111620804e-06,1.4237426739782677e-06,0.3856048882007599,0.046585265547037125,0.12081088125705719,0.35199999809265137,0.32383331656455994,2.625382900238037,2.629058599472046,0.9986019134521484,2.3206827640533447,2.3258261680603027,0.9977885484695435,2.309652090072632,2.298811912536621,1.3079609870910645,1.0825227499008179,-0.010840176604688168,1.0623310804367065,0.003974773921072483,1.2364808320999146,1.0,2.3376646041870117,poincare,2,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c2_std0.3_fourier16_seed42,1.7920305728912354,1.7544796466827393,1.7920305728912354,56.0,0.0,1.7399104833602905,1.7399104833602905,1.337795376777649,1.337795376777649,1.337795376777649,1.3410747051239014,2.2519729137420654,0.0,1.0,1.1947063207626343,11.657177925109863,0.9034227132797241,2.8531455993652344,1.0000001111620804e-06,1.3250803476694273e-06,0.36595600843429565,0.04594834893941879,0.1255570352077484,0.3528333306312561,0.3331666588783264,2.682669162750244,2.686429738998413,0.99860018491745,2.3406195640563965,2.356048822402954,0.9934512376785278,2.3669285774230957,2.3237946033477783,1.5576037168502808,1.0737605094909668,-0.043133970350027084,1.0618058443069458,0.004208927042782307,1.2619887590408325,1.0,2.3550021648406982,poincare,2,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
