,train/loss,train/loss_step,lr-AdamW,train/loss_epoch,nfe,integ_error,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/epsilon_coverage,test_sample/epsilon_precision,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions
2026.05.21__165611,0.16452711820602417,0.17906419932842255,9.925681661115959e-05,0.16452711820602417,84.5,5.7419142649450805e-06,0.16377922892570496,0.16377922892570496,1.2651355266571045,1.2651355266571045,1.2651355266571045,1.2559095621109009,2.0996158123016357,0.0,1.0,1.4407598972320557,1.8848894834518433,0.15273019671440125,1.6450297832489014,1.0000438805946033e-06,7.121075782379194e-07,0.16691353917121887,0.032585762441158295,0.19522540271282196,0.8096666932106018,0.7948333621025085,0.1008053570985794,0.10243668407201767,0.9840747714042664,0.3885197639465332,0.3813014030456543,1.0189310312271118,0.3034162223339081,0.2968139946460724,0.016122838482260704,0.014512465335428715,-0.006602227687835693,0.9411440491676331,0.003254080656915903,-0.6443300247192383,1.0,0.3839985430240631,sphere,2,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",4,,,False
2026.05.21__165634,0.167275071144104,0.17191195487976074,9.969891107175499e-05,0.167275071144104,85.5,6.298223979683826e-06,,,,,,1.2462847232818604,2.1082940101623535,0.0,1.0,1.443489909172058,1.9124279022216797,0.1561981439590454,1.6470149755477905,1.0000001111620804e-06,7.109251782821957e-07,0.1652536392211914,0.031676869839429855,0.19168636202812195,0.8163333535194397,0.800000011920929,0.10107026994228363,0.1046227216720581,0.9660451412200928,0.38962557911872864,0.3856256604194641,1.010372519493103,0.3034304678440094,0.297075480222702,0.01589428074657917,0.014935750514268875,-0.006354987621307373,0.9421240091323853,0.003108654636889696,-0.6450484991073608,1.0,0.3914833962917328,sphere,2,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",4,,,False
2026.05.21__165649,0.15578815340995789,0.14955948293209076,9.938564471667632e-05,0.15578815340995789,85.5,7.107853889465332e-06,0.1517568826675415,0.1517568826675415,1.1245670318603516,1.1245670318603516,1.1245670318603516,1.1713663339614868,2.148545026779175,0.0,1.0,1.4568761587142944,1.9026806354522705,0.1605008840560913,1.6697605848312378,1.0000001111620804e-06,7.05948536960932e-07,0.16376301646232605,0.03206200897693634,0.19578295946121216,0.827833354473114,0.8176666498184204,0.08587174117565155,0.09040175378322601,0.9498901963233948,0.3606768846511841,0.35850298404693604,1.0060639381408691,0.29880866408348083,0.29501253366470337,0.013809642754495144,0.013125176541507244,-0.003796130418777466,0.9414697289466858,0.003168065333738923,-0.6464571952819824,1.0,0.36201953887939453,sphere,2,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__165651,0.15651527047157288,0.16502168774604797,9.925681661115959e-05,0.15651527047157288,86.0,5.518396847037366e-06,0.15731409192085266,0.15731409192085266,1.1147171258926392,1.1147171258926392,1.1147171258926392,1.0951257944107056,2.1482059955596924,0.0,1.0,1.4569767713546753,1.9021375179290771,0.1585325300693512,1.6694527864456177,1.0000001111620804e-06,7.052904038573615e-07,0.16343596577644348,0.030453408136963844,0.1863323599100113,0.8326666951179504,0.8343333601951599,0.08525325357913971,0.0898759588599205,0.9485657811164856,0.3584665060043335,0.3582913279533386,1.0004888772964478,0.29821470379829407,0.29248255491256714,0.013816602528095245,0.01303312461823225,-0.005732149351388216,0.9411440491676331,0.003254080656915903,-0.6486614942550659,1.0,0.35751447081565857,sphere,2,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__165656,1397.740478515625,1686.017822265625,9.974040585802868e-05,1397.740478515625,152.0,0.0,,,,,,-2.081181049346924,2743.56689453125,0.0,1.0,22.40415382385254,371.6069641113281,47.22467041015625,123.01956176757812,1.0000001111620804e-06,1.3328565273695858e-06,0.4075927436351776,0.0604996457695961,0.14843161404132843,0.40400001406669617,0.36550000309944153,18.047401428222656,18.661741256713867,0.9670802354812622,7.485118389129639,7.640252590179443,0.9796951413154602,36.80084991455078,40.159976959228516,53.59678649902344,2.756085279997933e-07,3.3591270446777344,1.0628358125686646,0.004314052406698465,39.09714126586914,1.0,7.567131519317627,poincare,2,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",4,,,False
2026.05.21__165715,1410.7218017578125,1433.282470703125,9.981419862015173e-05,1410.7218017578125,152.5,0.0,,,,,,-2.101853847503662,2647.34423828125,0.0,1.0,22.19561195373535,364.2776794433594,46.37767028808594,122.13516998291016,1.0000001111620804e-06,1.3163424910089816e-06,0.5393928289413452,0.07051625847816467,0.13073265552520752,0.3865000009536743,0.3490000069141388,17.901782989501953,18.65386199951172,0.9596823453903198,7.445860862731934,7.638311386108398,0.9748045802116394,36.37016677856445,40.160057067871094,63.50014114379883,2.5134562520179315e-07,3.7898902893066406,1.0621408224105835,0.0039810677990317345,39.09791564941406,1.0,7.512875080108643,poincare,2,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__165730,1383.7452392578125,1358.696044921875,9.981419862015173e-05,1383.7452392578125,155.5,0.0,,,,,,-2.01326584815979,2667.8173828125,0.0,1.0,22.23635482788086,367.7214050292969,46.51618576049805,122.4736557006836,1.0000001111620804e-06,1.3011494957027026e-06,0.4395257830619812,0.06423304975032806,0.14614170789718628,0.40700000524520874,0.3661666810512543,17.99959945678711,18.671987533569336,0.9639894962310791,7.470438003540039,7.6425275802612305,0.9774826765060425,36.73031234741211,40.1600456237793,56.819488525390625,2.506270107005548e-07,3.4297335147857666,1.0623120069503784,0.004142200108617544,39.09773254394531,1.0,7.554785251617432,poincare,2,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__165733,1397.745849609375,1686.00390625,9.974040585802868e-05,1397.745849609375,152.0,0.0,,,,,,-2.081171989440918,2743.580322265625,0.0,1.0,22.404197692871094,371.604736328125,47.22479248046875,123.02030181884766,1.0000001111620804e-06,1.3328586874195025e-06,0.4069882929325104,0.06049827113747597,0.1486486941576004,0.4036666750907898,0.3661666810512543,18.047380447387695,18.66179084777832,0.9670765995979309,7.485130786895752,7.640258312225342,0.9796960353851318,36.800804138183594,40.1600341796875,53.59608459472656,2.615363996483211e-07,3.3592300415039062,1.0628358125686646,0.004314052406698465,39.097198486328125,1.0,7.567142486572266,poincare,2,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__165742,0.15814648568630219,0.15913215279579163,9.969891107175499e-05,0.15814648568630219,85.5,5.414088718680432e-06,,,,,,1.111169457435608,2.14976167678833,0.0,1.0,1.4577890634536743,1.9124277830123901,0.1557478904724121,1.6658698320388794,1.0000001111620804e-06,7.014889433776261e-07,0.16220828890800476,0.030955417081713676,0.19083744287490845,0.8255000114440918,0.812333345413208,0.08710871636867523,0.08973930031061172,0.9706863760948181,0.3624359667301178,0.3577841520309448,1.013001799583435,0.29832929372787476,0.29161038994789124,0.013995152898132801,0.013111901469528675,-0.0067189037799835205,0.9421240091323853,0.003108654636889696,-0.6505136489868164,1.0,0.3639349043369293,sphere,2,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__165755,0.20261114835739136,0.197907954454422,9.969891107175499e-05,0.20261114835739136,44.0,2.9553968943218933e-06,,,,,,3.243661403656006,0.355250746011734,0.0,1.0,0.5263457894325256,1.1722633838653564,0.279363751411438,1.0382925271987915,1.0000001111620804e-06,2.7533912998478627e-06,0.3682563602924347,0.08008547872304916,0.21747209131717682,0.5015000104904175,0.4973333477973938,0.9752312898635864,0.9581672549247742,1.0178090333938599,1.0715603828430176,1.0689550638198853,1.0024372339248657,0.5073096752166748,0.51262366771698,0.05517296493053436,0.05568281561136246,0.005313992500305176,0.837572455406189,0.013831323944032192,-0.3249487280845642,1.0,1.0672876834869385,sphere,2,4,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
